school_year,county_number,county_name,district_number,district_name,school_number,school_name,school_code,state_school_id,nces_id,co_op,co_op_code,school_type,federal_classification,level,title_1,number_of_years_identified,reason_for_federal_classification
20242025,10,BOYD,12,Ashland Independent,50,Ashland Middle School,12050,10012050,210015000000,KEDC,903,A1,ATSI,Middle School,Y,4.0,Disability
20242025,90,NELSON,17,Bardstown Independent,30,Bardstown Middle School,17030,90017030,210027000000,CKEC,901,A1,ATSI,Middle School,N,4.0,Disability
20242025,5,BARREN,21,Barren County,130,Park City Elementary School,21130,5021130,210030000000,GRREC,902,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,8,BOONE,35,Boone County,5,A M Yealey Elementary School,35005,8035005,210051000000,NKCES,905,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,8,BOONE,35,Boone County,15,Randall K. Cooper High School,35015,8035015,210051000000,NKCES,905,A1,TSI,High School,N,4.0,Disability
20242025,8,BOONE,35,Boone County,20,Rector A. Jones Middle School,35020,8035020,210051000000,NKCES,905,A1,ATSI,Middle School,Y,4.0,Disability
20242025,8,BOONE,35,Boone County,30,Boone County High School,35030,8035030,210051000000,NKCES,905,A1,ATSI,High School,N,4.0,English Learners plus Monitored; Disability
20242025,8,BOONE,35,Boone County,45,Conner High School,35045,8035045,210051000000,NKCES,905,A1,ATSI,High School,N,4.0,Disability
20242025,8,BOONE,35,Boone County,50,Florence Elementary School,35050,8035050,210051000000,NKCES,905,A1,TSI,Elementary School,Y,4.0,Disability
20242025,8,BOONE,35,Boone County,81,Ockerman Elementary School,35081,8035081,210051000000,NKCES,905,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,8,BOONE,35,Boone County,83,Stephens Elementary School,35083,8035083,210051000000,NKCES,905,A1,TSI,Elementary School,Y,4.0,Disability
20242025,9,BOURBON,41,Bourbon County,10,Bourbon Central Elementary School,41010,9041010,210054000000,CKEC,901,A1,TSI,Elementary School,Y,4.0,Disability
20242025,9,BOURBON,41,Bourbon County,120,Bourbon County Middle School,41120,9041120,210054000000,CKEC,901,A1,ATSI,Middle School,N,4.0,Disability
20242025,114,WARREN,42,Bowling Green Independent,65,Bowling Green Junior High,42065,114042065,210057000000,GRREC,902,A1,ATSI,Middle School,Y,4.0,Disability
20242025,114,WARREN,42,Bowling Green Independent,70,Bowling Green High School,42070,114042070,210057000000,GRREC,902,A1,ATSI,High School,Y,4.0,English Learners plus Monitored
20242025,10,BOYD,45,Boyd County,95,Catlettsburg Elementary School,45095,10045095,210062000000,KEDC,903,A1,TSI,Elementary School,Y,4.0,Disability
20242025,14,BRECKINRIDGE,65,Breckinridge County,50,Irvington Elementary School,65050,14065050,210072000141,GRREC,902,A1,TSI,Elementary School,Y,4.0,Disability
20242025,15,BULLITT,71,Bullitt County,7,Zoneton Middle School,71007,15071007,210075000000,OVEC,906,A1,CSI,Middle School,Y,1.0,Bottom 5%
20242025,15,BULLITT,71,Bullitt County,8,Shepherdsville Elementary,71008,15071008,210075000000,OVEC,906,A1,ATSI,Elementary School,Y,4.0,Disability
20242025,15,BULLITT,71,Bullitt County,10,Brooks Elementary School,71010,15071010,210075000000,OVEC,906,A1,TSI,Elementary School,Y,4.0,Economically Disadvantaged
20242025,15,BULLITT,71,Bullitt County,25,Hebron Middle School,71025,15071025,210075000000,OVEC,906,A1,ATSI,Middle School,Y,4.0,Disability
