school_year,county_number,county_name,district_number,district_name,school_number,school_name,school_code,state_school_id,nces_id,co_op,co_op_code,school_type,demographic,level,reading_math_indicator_status,reading_math_status_rating,science_social_studies_combined_writing_status,science_social_studies_combined_writing_status_rating,graduation_rate_status,graduation_rate_status_rating,overall_indicator_rating,english_learners_progress_status,english_learners_progress_status_rating,quality_of_school_climate_and_safety_status,quality_of_school_climate_and_safety_status_rating,postsecondary_status,postsecondary_status_rating,reading_math_change_difference,reading_math_change_rating,reading_math_change,science_social_studies_combined_writing_change_difference,science_social_studies_combined_writing_change_rating,science_social_studies_combined_writing_change,english_learners_progress_change_difference,english_learners_progress_change_rating,english_learners_progress_change,quality_of_school_climate_and_safety_change_difference,quality_of_school_climate_and_safety_change_rating,quality_of_school_climate_and_safety_change,postsecondary_change_difference,postsecondary_change_rating,postsecondary_change,graduation_change_difference,graduation_change_rating,graduation_change,reading_math_combined_indicator_rate,reading_math_combined_indicator_rating,science_social_studies_combined_writing_combined_indicator_rate,science_social_studies_combined_writing_combined_indicator_rating,english_learners_progress_combined_indicator_rate,english_learners_progress_combined_indicator_rating,quality_of_school_climate_and_safety_combined_indicator_rate,quality_of_school_climate_and_safety_combined_indicator_rating,postsecondary_combined_indicator_rate,postsecondary_combined_indicator_rating,graduation_combined_indicator_rate,graduation_combined_indicator_rating,overall_combined_indicator_rate
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,African American,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,American Indian or Alaska Native,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,Asian,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,Economically Disadvantaged,High School,69.1,4.0,46.9,2.0,97.5,4.0,5.0,,,62.4,3.0,93.7,4.0,17.2,5.0,17.2,6.6,4.0,6.6,,,,0.8,4.0,0.8,6.3,4.0,6.3,0.8,4.0,0.8,86.3,5.0,53.5,3.0,,,63.2,4.0,100.0,4.0,98.3,4.0,82.1
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,English Learner including Monitored,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,Hispanic or Latino,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,Native Hawaiian or Pacific Islander,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,Students with Disabilities (IEP),High School,,,,,,,3.0,,,64.7,4.0,,,,,,,,,,,,-0.1,3.0,-0.1,,,,,,,,,,,,,64.6,4.0,,,,,64.6
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,Two or More Races,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,10.0,Adair County High School,1010,1001010.0,210003000000.0,GRREC,902.0,A1,White (non-Hispanic),High School,70.3,4.0,52.1,3.0,97.6,4.0,5.0,,,63.9,3.0,99.7,5.0,11.1,5.0,11.1,3.6,4.0,3.6,,,,0.3,4.0,0.3,5.6,4.0,5.6,1.0,4.0,1.0,81.4,5.0,55.7,4.0,,,64.2,4.0,105.3,5.0,98.6,4.0,81.4
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,African American,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,American Indian or Alaska Native,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,Asian,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,Economically Disadvantaged,Middle School,56.2,3.0,51.4,3.0,,,3.0,,,63.2,2.0,,,2.5,4.0,2.5,11.3,5.0,11.3,,,,2.9,4.0,2.9,,,,,,,58.7,4.0,62.7,4.0,,,66.1,3.0,,,,,60.9
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,English Learner including Monitored,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,Hispanic or Latino,Middle School,58.2,3.0,45.1,2.0,,,3.0,,,68.4,4.0,,,-2.9,2.0,-2.9,,,,,,,5.6,5.0,5.6,,,,,,,55.3,2.0,45.1,2.0,,,74.0,5.0,,,,,51.3
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,Native Hawaiian or Pacific Islander,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,Students with Disabilities (IEP),Middle School,48.2,2.0,30.7,1.0,,,3.0,,,73.1,4.0,,,29.3,5.0,29.3,,,,,,,2.7,4.0,2.7,,,,,,,77.5,3.0,30.7,1.0,,,75.8,4.0,,,,,55.3
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,Two or More Races,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,14.0,Adair County Middle School,1014,1001014.0,210003000000.0,GRREC,902.0,A1,White (non-Hispanic),Middle School,66.9,4.0,60.5,4.0,,,4.0,,,64.2,3.0,,,3.8,4.0,3.8,12.0,5.0,12.0,,,,3.5,4.0,3.5,,,,,,,70.7,4.0,72.5,5.0,,,67.7,4.0,,,,,71.4
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,African American,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,American Indian or Alaska Native,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,Asian,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,Economically Disadvantaged,Elementary School,59.7,3.0,51.9,3.0,,,3.0,,,75.3,3.0,,,3.7,4.0,3.7,3.9,4.0,3.9,,,,0.8,4.0,0.8,,,,,,,63.4,4.0,55.8,4.0,,,76.1,4.0,,,,,60.7
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,English Learner including Monitored,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,Hispanic or Latino,Elementary School,68.8,3.0,,,,,4.0,,,74.6,3.0,,,4.7,4.0,4.7,,,,,,,1.2,4.0,1.2,,,,,,,73.5,4.0,,,,,75.8,4.0,,,,,73.7
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,Native Hawaiian or Pacific Islander,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,Students with Disabilities (IEP),Elementary School,41.8,2.0,34.0,2.0,,,2.0,,,78.1,4.0,,,3.1,4.0,3.1,3.7,4.0,3.7,,,,2.5,4.0,2.5,,,,,,,44.9,3.0,37.7,3.0,,,80.6,4.0,,,,,43.4
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,Two or More Races,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,16.0,Adair County Elementary School,1016,1001016.0,210003000000.0,GRREC,902.0,A1,White (non-Hispanic),Elementary School,66.9,3.0,57.5,3.0,,,3.0,,,76.2,3.0,,,3.2,4.0,3.2,0.1,4.0,0.1,,,,1.1,4.0,1.1,,,,,,,70.1,4.0,57.6,4.0,,,77.3,4.0,,,,,65.1
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,African American,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,African American,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,African American,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,American Indian or Alaska Native,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,American Indian or Alaska Native,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,American Indian or Alaska Native,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Asian,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Asian,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Asian,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Economically Disadvantaged,Elementary School,59.7,3.0,51.9,3.0,,,3.0,,,75.3,3.0,,,3.7,4.0,3.7,3.9,4.0,3.9,,,,0.8,4.0,0.8,,,,,,,63.4,4.0,55.8,4.0,,,76.1,4.0,,,,,60.7
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Economically Disadvantaged,High School,69.1,4.0,46.9,2.0,97.5,4.0,5.0,,,62.4,3.0,93.7,4.0,17.2,5.0,17.2,6.6,4.0,6.6,,,,0.8,4.0,0.8,6.3,4.0,6.3,0.8,4.0,0.8,86.3,5.0,53.5,3.0,,,63.2,4.0,100.0,4.0,98.3,4.0,82.1
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Economically Disadvantaged,Middle School,56.2,3.0,51.4,3.0,,,3.0,,,63.2,2.0,,,2.5,4.0,2.5,11.3,5.0,11.3,,,,2.9,4.0,2.9,,,,,,,58.7,4.0,62.7,4.0,,,66.1,3.0,,,,,60.9
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,English Learner including Monitored,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,English Learner including Monitored,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,English Learner including Monitored,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Hispanic or Latino,Elementary School,68.8,3.0,,,,,4.0,,,74.6,3.0,,,4.7,4.0,4.7,,,,,,,1.2,4.0,1.2,,,,,,,73.5,4.0,,,,,75.8,4.0,,,,,73.7
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Hispanic or Latino,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Hispanic or Latino,Middle School,58.2,3.0,45.1,2.0,,,3.0,,,68.4,4.0,,,-2.9,2.0,-2.9,,,,,,,5.6,5.0,5.6,,,,,,,55.3,2.0,45.1,2.0,,,74.0,5.0,,,,,51.3
20242025,1.0,ADAIR,1,Adair County,,All Schools,1000,,2100030.0,GRREC,902.0,,Native Hawaiian or Pacific Islander,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
