School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Federal Classification,Level,Title 1,Number Of Years Identified,Reason For Federal Classification
20242025,010,BOYD,012,Ashland Independent,050,Ashland Middle School,012050,010012050,210015000000,KEDC,903,A1,ATSI,Middle School,Y,4,Disability
20242025,090,NELSON,017,Bardstown Independent,030,Bardstown Middle School,017030,090017030,210027000000,CKEC,901,A1,ATSI,Middle School,N,4,Disability
20242025,005,BARREN,021,Barren County,130,Park City Elementary School,021130,005021130,210030000000,GRREC,902,A1,ATSI,Elementary School,Y,4,Disability
20242025,008,BOONE,035,Boone County,005,A M Yealey Elementary School,035005,008035005,210051000000,NKCES,905,A1,ATSI,Elementary School,Y,4,Disability
20242025,008,BOONE,035,Boone County,015,Randall K. Cooper High School,035015,008035015,210051000000,NKCES,905,A1,TSI,High School,N,,Disability
20242025,008,BOONE,035,Boone County,020,Rector A. Jones Middle School,035020,008035020,210051000000,NKCES,905,A1,ATSI,Middle School,Y,4,Disability
20242025,008,BOONE,035,Boone County,030,Boone County High School,035030,008035030,210051000000,NKCES,905,A1,ATSI,High School,N,4,English Learners plus Monitored; Disability
20242025,008,BOONE,035,Boone County,045,Conner High School,035045,008035045,210051000000,NKCES,905,A1,ATSI,High School,N,4,Disability
20242025,008,BOONE,035,Boone County,050,Florence Elementary School,035050,008035050,210051000000,NKCES,905,A1,TSI,Elementary School,Y,,Disability
20242025,008,BOONE,035,Boone County,081,Ockerman Elementary School,035081,008035081,210051000000,NKCES,905,A1,ATSI,Elementary School,Y,4,Disability
20242025,008,BOONE,035,Boone County,083,Stephens Elementary School,035083,008035083,210051000000,NKCES,905,A1,TSI,Elementary School,Y,,Disability
20242025,009,BOURBON,041,Bourbon County,010,Bourbon Central Elementary School,041010,009041010,210054000000,CKEC,901,A1,TSI,Elementary School,Y,,Disability
20242025,009,BOURBON,041,Bourbon County,120,Bourbon County Middle School,041120,009041120,210054000000,CKEC,901,A1,ATSI,Middle School,N,4,Disability
20242025,114,WARREN,042,Bowling Green Independent,065,Bowling Green Junior High,042065,114042065,210057000000,GRREC,902,A1,ATSI,Middle School,Y,4,Disability
20242025,114,WARREN,042,Bowling Green Independent,070,Bowling Green High School,042070,114042070,210057000000,GRREC,902,A1,ATSI,High School,Y,4,English Learners plus Monitored
20242025,010,BOYD,045,Boyd County,095,Catlettsburg Elementary School,045095,010045095,210062000000,KEDC,903,A1,TSI,Elementary School,Y,,Disability
20242025,014,BRECKINRIDGE,065,Breckinridge County,050,Irvington Elementary School,065050,014065050,210072000141,GRREC,902,A1,TSI,Elementary School,Y,,Disability
20242025,015,BULLITT,071,Bullitt County,007,Zoneton Middle School,071007,015071007,210075000000,OVEC,906,A1,CSI,Middle School,Y,1,Bottom 5%
20242025,015,BULLITT,071,Bullitt County,008,Shepherdsville Elementary,071008,015071008,210075000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,015,BULLITT,071,Bullitt County,010,Brooks Elementary School,071010,015071010,210075000000,OVEC,906,A1,TSI,Elementary School,Y,,Economically Disadvantaged
20242025,015,BULLITT,071,Bullitt County,025,Hebron Middle School,071025,015071025,210075000000,OVEC,906,A1,ATSI,Middle School,Y,4,Disability
20242025,015,BULLITT,071,Bullitt County,045,Maryville Elementary School,071045,015071045,210075000000,OVEC,906,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,015,BULLITT,071,Bullitt County,050,MT. Washington Middle School,071050,015071050,210075000000,OVEC,906,A1,ATSI,Middle School,Y,4,Disability
20242025,015,BULLITT,071,Bullitt County,070,Nichols Elementary,071070,015071070,210075000000,OVEC,906,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,015,BULLITT,071,Bullitt County,075,North Bullitt High School,071075,015071075,210075000000,OVEC,906,A1,TSI,High School,Y,,Disability
20242025,019,CAMPBELL,091,Campbell County,011,Campbell County Middle School,091011,019091011,210090000000,NKCES,905,A1,ATSI,Middle School,N,4,Disability
20242025,021,CARROLL,101,Carroll County,005,Cartmell Elementary,101005,021101005,210099000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,021,CARROLL,101,Carroll County,010,Kathryn Winn Primary,101010,021101010,210099000000,OVEC,906,A1,ATSI,Elementary School,Y,4,Disability
20242025,022,CARTER,105,Carter County,505,West Carter Middle School,105505,022105505,210102000000,KEDC,903,A1,TSI,Middle School,Y,,Disability
20242025,005,BARREN,113,Caverna Independent,025,Caverna Elementary School,113025,005113025,210111000000,GRREC,902,A1,TSI,Elementary School,Y,,Disability
20242025,024,CHRISTIAN,115,Christian County,026,Freedom Elementary School,115026,024115026,210115000000,WKEC,908,A1,ATSI,Elementary School,Y,3,Disability
20242025,024,CHRISTIAN,115,Christian County,030,Christian County High School,115030,024115030,210115000000,WKEC,908,A1,ATSI,High School,Y,4,Disability
20242025,024,CHRISTIAN,115,Christian County,035,Christian County Middle School,115035,024115035,210115000000,WKEC,908,A1,ATSI,Middle School,Y,4,Disability
20242025,024,CHRISTIAN,115,Christian County,058,Hopkinsville Middle School,115058,024115058,210115000000,WKEC,908,A1,ATSI,Middle School,Y,4,Disability
20242025,024,CHRISTIAN,115,Christian County,130,Pembroke Elementary School,115130,024115130,210115000000,WKEC,908,A1,ATSI,Elementary School,Y,4,Disability
20242025,025,CLARK,121,Clark County,026,Rev. Henry E. Baker Sr. Interm. School,121026,025121026,210120000000,CKEC,901,A1,TSI,Middle School,Y,,Disability
20242025,014,BRECKINRIDGE,132,Cloverport Independent,030,Cloverport Independent School,132030,014132030,210129000000,GRREC,902,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,011,BOYLE,143,Danville Independent,003,Mary G. Hogsett Primary School,143003,011143003,210144000000,CKEC,901,A1,ATSI,Elementary School,Y,4,Disability
20242025,011,BOYLE,143,Danville Independent,010,Edna L. Toliver Intermediate School,143010,011143010,210144000000,CKEC,901,A1,ATSI,Elementary School,Y,4,Disability
20242025,059,KENTON,157,Erlanger-Elsmere Independent,060,Tichenor Middle School,157060,059157060,210174000000,NKCES,905,A1,ATSI,Middle School,N,4,Disability
20242025,034,FAYETTE,165,Fayette County,005,Arlington Elementary School,165005,034165005,210186000000,CKEC,901,A1,TSI,Elementary School,Y,,Hispanic; English Learners plus Monitored
20242025,034,FAYETTE,165,Fayette County,030,Bryan Station Middle School,165030,034165030,210186000000,CKEC,901,A1,ATSI,Middle School,Y,2,Disability
20242025,034,FAYETTE,165,Fayette County,039,Henry Clay High School,165039,034165039,210186000364,CKEC,901,A1,ATSI,High School,Y,4,English Learners plus Monitored; Disability
20242025,034,FAYETTE,165,Fayette County,065,Leestown Middle School,165065,034165065,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4,Disability
20242025,034,FAYETTE,165,Fayette County,067,Lexington Middle School,165067,034165067,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4,Disability
20242025,034,FAYETTE,165,Fayette County,090,Russell Cave Elementary School,165090,034165090,210186000000,CKEC,901,A1,CSI,Elementary School,Y,1,Bottom 5%
20242025,034,FAYETTE,165,Fayette County,095,Tates Creek Elementary School,165095,034165095,210186000381,CKEC,901,A1,TSI,Elementary School,Y,,Disability
20242025,034,FAYETTE,165,Fayette County,100,Tates Creek Middle School,165100,034165100,210186000000,CKEC,901,A1,ATSI,Middle School,Y,4,Disability
20242025,034,FAYETTE,165,Fayette County,125,Frederick Douglass High School,165125,034165125,210186000000,CKEC,901,A1,ATSI,High School,Y,4,Disability
20242025,034,FAYETTE,165,Fayette County,170,Bryan Station High School,165170,034165170,210186000000,CKEC,901,A1,ATSI,High School,Y,4,English Learners plus Monitored
