School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,Co-Op,Co-Op Code,School Type,Demographic,Level,READING_MATH INDICATOR STATUS,READING_MATH STATUS RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING STATUS,SCIENCE_SOCIAL STUDIES_COMBINED WRITING STATUS RATING,GRADUATION RATE STATUS,GRADUATION RATE STATUS RATING,OVERALL INDICATOR RATING,ENGLISH LEARNERS PROGRESS STATUS,ENGLISH LEARNERS PROGRESS STATUS RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS,QUALITY OF SCHOOL CLIMATE AND SAFETY STATUS RATING,POSTSECONDARY STATUS,POSTSECONDARY STATUS RATING,READING_MATH CHANGE DIFFERENCE,READING_MATH CHANGE RATING,READING_MATH CHANGE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING CHANGE DIFFERENCE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING CHANGE RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING CHANGE,ENGLISH LEARNERS PROGRESS CHANGE DIFFERENCE,ENGLISH LEARNERS PROGRESS CHANGE RATING,ENGLISH LEARNERS PROGRESS CHANGE,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE DIFFERENCE,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY CHANGE,POSTSECONDARY CHANGE DIFFERENCE,POSTSECONDARY CHANGE RATING,POSTSECONDARY CHANGE,GRADUATION CHANGE DIFFERENCE,GRADUATION CHANGE RATING,GRADUATION CHANGE,READING_MATH COMBINED INDICATOR RATE,READING_MATH COMBINED INDICATOR RATING,SCIENCE_SOCIAL STUDIES_COMBINED WRITING COMBINED INDICATOR RATE,SCIENCE_SOCIAL STUDIES_COMBINED WRITING COMBINED INDICATOR RATING,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATE,ENGLISH LEARNERS PROGRESS COMBINED INDICATOR RATING,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATE,QUALITY OF SCHOOL CLIMATE AND SAFETY COMBINED INDICATOR RATING,POSTSECONDARY COMBINED INDICATOR RATE,POSTSECONDARY COMBINED INDICATOR RATING,GRADUATION COMBINED INDICATOR RATE,GRADUATION COMBINED INDICATOR RATING,OVERALL COMBINED INDICATOR RATE
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,African American,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,American Indian or Alaska Native,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Asian,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Economically Disadvantaged,High School,69.1,4,46.9,2,97.5,4,5,,,62.4,3,93.7,4,17.2,5,17.2,6.6,4,6.6,,,,0.8,4,0.8,6.3,4,6.3,0.8,4,0.8,86.3,5,53.5,3,,,63.2,4,100.0,4,98.3,4,82.1
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,English Learner including Monitored,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Hispanic or Latino,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Native Hawaiian or Pacific Islander,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Students with Disabilities (IEP),High School,,,,,,,3,,,64.7,4,,,,,,,,,,,,-0.1,3,-0.1,,,,,,,,,,,,,64.6,4,,,,,64.6
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,Two or More Races,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000000,GRREC,902,A1,White (non-Hispanic),High School,70.3,4,52.1,3,97.6,4,5,,,63.9,3,99.7,5,11.1,5,11.1,3.6,4,3.6,,,,0.3,4,0.3,5.6,4,5.6,1.0,4,1.0,81.4,5,55.7,4,,,64.2,4,105.3,5,98.6,4,81.4
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,African American,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,American Indian or Alaska Native,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,Asian,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,Economically Disadvantaged,Middle School,56.2,3,51.4,3,,,3,,,63.2,2,,,2.5,4,2.5,11.3,5,11.3,,,,2.9,4,2.9,,,,,,,58.7,4,62.7,4,,,66.1,3,,,,,60.9
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,English Learner including Monitored,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,Hispanic or Latino,Middle School,58.2,3,45.1,2,,,3,,,68.4,4,,,-2.9,2,-2.9,,,,,,,5.6,5,5.6,,,,,,,55.3,2,45.1,2,,,74.0,5,,,,,51.3
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,Native Hawaiian or Pacific Islander,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,Students with Disabilities (IEP),Middle School,48.2,2,30.7,1,,,3,,,73.1,4,,,29.3,5,29.3,,,,,,,2.7,4,2.7,,,,,,,77.5,3,30.7,1,,,75.8,4,,,,,55.3
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,Two or More Races,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,014,Adair County Middle School,001014,001001014,210003000000,GRREC,902,A1,White (non-Hispanic),Middle School,66.9,4,60.5,4,,,4,,,64.2,3,,,3.8,4,3.8,12.0,5,12.0,,,,3.5,4,3.5,,,,,,,70.7,4,72.5,5,,,67.7,4,,,,,71.4
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,African American,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,American Indian or Alaska Native,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,Asian,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,Economically Disadvantaged,Elementary School,59.7,3,51.9,3,,,3,,,75.3,3,,,3.7,4,3.7,3.9,4,3.9,,,,0.8,4,0.8,,,,,,,63.4,4,55.8,4,,,76.1,4,,,,,60.7
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,English Learner including Monitored,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,Hispanic or Latino,Elementary School,68.8,3,,,,,4,,,74.6,3,,,4.7,4,4.7,,,,,,,1.2,4,1.2,,,,,,,73.5,4,,,,,75.8,4,,,,,73.7
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,Native Hawaiian or Pacific Islander,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,Students with Disabilities (IEP),Elementary School,41.8,2,34.0,2,,,2,,,78.1,4,,,3.1,4,3.1,3.7,4,3.7,,,,2.5,4,2.5,,,,,,,44.9,3,37.7,3,,,80.6,4,,,,,43.4
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,Two or More Races,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,016,Adair County Elementary School,001016,001001016,210003000000,GRREC,902,A1,White (non-Hispanic),Elementary School,66.9,3,57.5,3,,,3,,,76.2,3,,,3.2,4,3.2,0.1,4,0.1,,,,1.1,4,1.1,,,,,,,70.1,4,57.6,4,,,77.3,4,,,,,65.1
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,African American,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,African American,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,African American,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,American Indian or Alaska Native,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,American Indian or Alaska Native,High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,American Indian or Alaska Native,Middle School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20242025,001,ADAIR,001,Adair County,,All Schools,001000,,2100030,GRREC,902,,Asian,Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
